"slug","title","lastUpdated","words","images","rasterImages","rasterPaths","svgImages","missingImages","firstPersonSingular","firstPersonPlural","explicitTesting","evidenceTerms","externalLinks","disclosure","versionTitle","evidenceScore"
"adobe-firefly","Adobe Firefly Review: Legally Safe AI Art","2026-05-01","3171","3","0","","3","0","13","0","3","6","1","false","false","15"
"amazon-codewhisperer","Amazon Q Developer Review 2026: AWS AI","2026-05-01","2528","3","0","","3","0","10","1","3","2","1","false","false","11"
"beautiful-ai","Beautiful.ai Review 2026: Smart Templates","2026-05-01","2967","3","0","","3","0","14","0","7","4","1","false","false","19"
"bolt-new","Bolt.new Review: Speed King Tested (2026)","2026-05-16","3886","11","0","","11","0","60","10","4","10","1","false","false","17"
"canva-ai","Canva AI Review 2026: Worth the Upgrade?","2026-05-01","3294","3","0","","3","0","24","0","6","5","1","false","false","20"
"chatgpt","ChatGPT Review 2026: Still the Best AI?","2026-05-02","2848","3","0","","3","0","25","4","4","9","1","false","false","17"
"claude-code","Claude Code Review 2026: Terminal AI Agent","2026-04-09","3008","3","0","","3","0","23","2","0","5","2","false","false","8"
"claude","Claude AI Review 2026: Best for Writing","2026-05-28","3000","4","0","","4","0","38","2","4","2","1","false","false","13"
"coda-ai","Coda AI Review 2026: Notion Alternative","2026-05-01","1900","3","0","","3","0","7","2","1","0","1","false","false","5"
"copyai","Copy.ai Review 2026: GTM Platform Pivot","2026-05-01","2787","3","0","","3","0","4","3","0","4","1","false","false","5"
"cursor","Cursor Review 2026: Better Than VS Code?","2026-05-01","3012","3","0","","3","0","34","6","6","7","1","false","false","21"
"dalle3","DALL-E 3 Review: AI Image Generation","2026-05-01","3860","3","0","","3","0","32","3","13","9","1","false","false","21"
"deevid-ai","DeeVid AI Review 2026: Tested, Scored, Verdict","2026-05-30","4436","22","6","/images/blog/deevid-sora2-output.png | /images/blog/deevid-master-v2-output.png | /images/blog/deevid-master-v4-output.png | /images/blog/deevid-image-to-video-test.png | /images/blog/deevid-nano-banana-gallery.png | /images/blog/deevid-pricing-page.png","16","0","38","0","6","30","2","true","false","34"
"descript","Descript Review 2026: Text-Based Video","2026-05-01","2906","3","0","","3","0","17","0","4","0","1","false","false","11"
"elevenlabs","ElevenLabs Review 2026: Voice Cloning Test","2026-05-28","2785","3","0","","3","0","9","0","1","1","1","false","false","6"
"figma-ai","Figma AI Review: Do the AI Features Matter?","2026-05-01","2995","3","0","","3","0","18","0","10","1","1","false","false","16"
"gamma","Gamma AI Review 2026: AI Presentations","2026-05-01","3082","3","0","","3","0","14","1","5","1","1","false","false","14"
